study_hours,attendance,previous_score,assignments_completed,sleep_hours,final_score
4.37,84.91,46.11,3,7.11,47.96
9.56,76.8,67.51,7,7.03,73.46
7.59,65.48,87.38,6,7.02,73.79
6.39,90.69,78.93,10,7.22,78.77
2.4,84.24,83.39,6,7.54,56.8
2.4,58.13,74.53,3,8.12,45.44
1.52,95.55,76.54,6,5.71,51.76
8.8,91.13,85.95,5,8.21,82.76
6.41,97.49,49.98,8,6.74,66.1
7.37,86.29,64.37,7,4.85,72.12
1.19,80.67,48.27,3,4.76,34.36
9.73,70.91,94.26,6,6.0,85.13
8.49,96.64,91.64,8,8.03,82.05
2.91,93.3,37.37,8,7.68,41.54
2.64,52.26,77.33,6,8.05,51.56
2.65,51.32,90.51,10,6.83,62.7
3.74,68.82,45.83,5,6.48,39.24
5.72,90.53,69.08,4,5.16,57.03
4.89,99.36,89.93,5,5.98,64.59
3.62,57.52,37.04,6,6.45,36.76
6.51,79.71,76.85,7,4.9,62.28
2.26,69.04,52.84,4,5.49,38.13
3.63,98.5,90.46,3,7.19,76.87
4.3,92.11,93.26,5,7.81,70.43
5.1,91.92,91.66,6,8.99,68.23
8.07,73.43,63.45,5,8.7,63.96
2.8,70.74,86.72,4,7.39,64.81
5.63,63.67,85.67,9,6.4,78.61
6.33,52.82,54.15,5,7.36,44.43
1.42,93.24,84.73,3,8.04,61.88
6.47,90.65,37.22,3,5.03,40.0
2.53,99.99,70.78,2,6.34,52.21
1.59,99.83,48.8,5,8.28,55.42
9.54,77.77,42.23,10,6.23,54.92
9.69,88.45,39.62,8,7.07,61.7
8.28,97.24,76.78,8,7.14,81.18
3.74,92.48,55.39,8,5.33,56.43
1.88,62.37,78.49,9,6.13,56.81
7.16,72.53,38.92,2,6.01,42.36
4.96,56.46,53.92,9,4.62,45.91
2.1,97.7,67.37,5,4.61,51.54
5.46,80.31,82.44,5,8.24,68.08
1.31,61.43,54.13,5,5.73,38.04
9.18,83.59,72.55,7,6.83,73.37
3.33,80.91,88.16,8,5.84,69.0
6.96,67.91,71.95,7,8.73,68.34
3.81,55.68,48.98,2,5.67,38.57
5.68,83.58,36.46,9,6.43,47.69
5.92,76.02,87.21,8,8.43,69.51
2.66,88.62,36.28,7,8.29,46.18
9.73,76.01,87.48,7,5.34,77.09
7.98,92.61,66.74,6,8.11,68.32
9.46,77.6,91.34,7,6.56,81.9
9.05,78.05,82.93,10,6.67,88.27
6.38,93.83,94.88,10,5.1,74.65
9.3,70.17,56.04,9,4.86,75.58
1.8,56.7,81.03,10,7.78,64.47
2.76,51.44,59.12,9,6.73,47.68
1.41,87.76,63.79,9,6.47,52.47
3.93,81.02,72.65,2,7.78,56.79
4.5,85.2,87.42,6,7.94,73.62
3.44,60.65,94.05,5,5.22,64.71
8.46,56.82,81.1,3,7.25,69.95
4.21,50.73,60.07,9,5.11,48.85
3.53,67.53,60.28,4,7.88,47.07
5.88,79.5,79.25,5,7.46,66.87
2.27,69.61,49.33,8,8.8,44.78
8.22,71.87,41.63,10,4.81,58.39
1.67,95.21,56.28,3,4.76,42.75
9.88,67.41,52.23,4,5.77,45.0
7.95,75.7,52.78,5,5.68,57.48
2.79,89.18,49.02,2,5.61,38.84
1.05,69.83,37.53,8,8.58,35.53
8.34,81.1,36.07,3,5.62,43.52
7.36,93.12,94.26,6,5.72,85.49
7.56,97.48,60.67,2,7.92,65.79
7.94,57.35,58.06,4,6.52,50.95
1.67,96.33,75.78,3,8.0,57.8
4.23,74.61,48.1,2,4.79,33.27
2.04,62.91,92.0,8,6.69,58.42
8.77,72.96,82.18,6,4.65,69.86
6.61,99.0,40.36,2,4.78,47.41
3.98,74.63,60.05,7,8.58,59.08
1.57,66.44,87.75,6,5.13,58.18
3.8,81.67,91.68,4,6.9,70.08
3.93,62.01,63.04,8,6.35,54.27
7.57,53.79,71.8,10,6.06,64.45
6.74,56.44,45.02,10,8.55,56.12
8.98,56.4,94.47,10,4.6,84.7
5.25,57.6,48.9,3,7.49,45.21
2.08,56.94,91.56,4,8.84,65.36
7.42,82.04,73.98,8,7.02,75.15
7.85,59.09,71.46,6,8.72,68.81
6.05,67.28,65.76,3,4.74,55.64
7.94,94.84,48.84,4,6.38,56.14
5.44,73.7,45.59,7,5.67,43.05
5.7,83.38,48.23,8,7.79,54.46
4.85,58.62,46.19,10,8.92,48.12
1.23,59.61,81.78,2,5.65,43.47
1.97,52.04,56.01,8,7.44,42.33
1.28,58.45,38.47,9,5.39,27.8
6.73,63.93,93.15,4,7.04,71.04
3.83,58.85,88.03,5,6.59,53.95
5.58,54.44,90.67,7,8.87,73.52
9.17,56.03,94.69,8,7.24,83.39
3.24,73.04,45.43,5,6.07,35.37
4.69,60.32,58.77,9,5.01,53.45
7.8,68.21,80.49,6,5.18,72.52
3.06,75.17,76.76,2,5.51,44.65
1.69,84.52,44.23,5,5.63,32.53
3.61,51.97,83.95,4,8.33,55.56
2.45,89.97,48.47,10,7.03,45.8
9.37,81.4,48.43,9,6.86,67.57
8.27,54.09,67.22,2,5.02,53.65
6.7,93.68,70.58,7,8.37,70.57
8.84,96.04,69.81,10,7.75,72.21
8.23,53.05,40.49,8,4.8,49.43
2.68,63.84,87.65,5,7.69,56.01
9.03,90.31,50.94,2,6.95,57.82
5.85,87.41,42.77,3,4.87,43.54
8.27,59.23,88.32,6,6.56,80.0
9.06,60.47,92.34,6,6.68,74.03
3.86,68.52,86.73,9,5.25,53.94
1.99,74.23,83.57,7,8.76,63.95
3.05,80.91,74.31,9,8.32,71.38
4.84,68.45,68.05,3,7.51,58.83
8.36,73.13,40.22,4,6.58,49.4
8.75,87.37,59.51,7,6.35,64.61
1.06,51.83,57.36,4,7.43,39.25
5.6,62.62,50.59,7,6.95,45.54
4.76,85.67,78.41,7,4.78,65.8
3.0,94.76,64.75,3,6.81,53.49
2.08,75.58,39.86,8,8.13,44.28
4.04,76.61,48.21,3,6.57,52.13
9.49,55.36,76.0,7,4.73,70.3
3.91,72.37,39.57,2,8.04,34.02
5.67,76.63,86.07,4,5.41,65.61
7.33,62.12,64.71,3,5.66,47.38
4.27,63.46,63.84,8,5.24,49.39
9.75,68.86,70.54,5,5.99,66.75
9.66,51.0,84.48,9,7.91,78.25
3.27,66.1,55.87,7,6.84,47.41
5.48,60.57,75.68,5,5.42,54.32
3.71,66.37,68.94,6,8.45,60.79
3.56,55.99,51.02,10,8.46,49.21
1.33,94.53,87.72,8,8.42,68.6
6.49,79.68,82.85,10,5.57,73.42
5.52,83.96,74.51,8,6.53,67.95
1.46,89.46,86.03,2,8.93,63.31
3.51,74.92,87.04,9,7.97,67.17
9.17,54.35,77.5,5,4.62,63.15
3.16,76.86,85.22,4,4.79,56.62
2.3,79.34,76.85,8,6.59,54.02
5.41,87.27,75.81,4,8.59,63.01
9.87,71.58,72.12,9,6.92,74.83
3.18,56.38,80.16,7,6.74,61.34
7.05,64.19,44.52,6,4.97,46.96
7.85,68.15,87.85,5,7.46,75.83
3.14,82.3,87.31,9,8.2,75.04
7.55,78.54,36.75,9,6.21,51.03
4.31,67.8,84.55,2,7.99,62.42
6.69,99.33,42.73,10,8.84,61.61
6.7,80.29,55.11,6,5.42,55.78
5.82,61.86,79.61,5,6.85,60.75
1.81,55.09,44.65,7,5.79,23.32
8.52,57.64,84.08,7,8.07,75.58
3.89,62.3,84.93,3,7.1,64.52
2.68,58.03,65.45,9,7.36,56.01
1.37,59.33,35.38,8,8.09,36.28
6.32,64.25,52.22,2,6.28,49.97
7.1,58.67,72.02,6,8.62,65.88
1.15,94.84,93.87,7,6.9,68.82
5.61,54.01,72.91,5,5.21,52.33
3.04,76.23,50.59,3,7.63,40.05
6.81,70.52,73.04,5,8.07,68.04
2.57,99.12,67.4,2,5.93,54.88
7.22,55.6,81.79,8,8.36,72.25
4.48,69.89,41.42,3,8.58,38.37
9.43,98.47,80.66,3,5.75,76.1
2.24,93.28,67.48,10,8.93,65.38
4.07,90.85,92.78,6,5.13,64.5
2.02,62.9,55.51,3,5.41,26.19
9.32,58.54,72.96,10,5.33,69.86
8.9,83.43,90.92,10,8.52,85.72
3.32,96.47,41.15,2,7.44,37.3
6.94,77.84,91.23,4,5.18,71.18
8.35,78.58,76.27,5,6.48,68.8
6.0,64.0,39.07,8,7.27,51.99
5.77,88.47,53.06,5,4.88,51.99
3.18,59.35,77.49,3,8.47,55.56
1.84,66.18,39.04,8,8.12,39.55
9.07,71.27,69.93,7,6.77,66.02
9.1,75.38,55.75,4,8.85,67.04
6.7,62.12,72.25,7,6.38,62.95
4.05,55.74,37.74,7,8.93,42.62
4.14,80.53,87.29,6,7.51,64.66
7.53,64.43,93.41,5,7.36,70.17
9.07,79.06,93.13,2,5.25,79.37
8.98,57.72,79.98,7,8.47,77.2
8.02,74.06,42.81,3,6.42,44.13
6.78,76.63,80.5,4,5.23,61.79
1.76,52.59,36.48,9,4.56,33.19
2.45,66.83,36.33,7,7.02,29.6
9.09,56.72,54.42,4,6.87,61.98
6.46,53.17,64.32,8,7.74,56.2
1.08,99.5,81.22,5,8.51,64.2
1.91,66.12,76.0,10,4.86,53.97
6.97,90.49,61.75,6,7.79,67.09
1.05,62.73,51.42,4,5.34,29.58
2.45,84.08,94.83,3,8.36,66.12
5.94,88.01,60.57,3,8.19,57.7
7.23,79.78,62.08,4,6.93,55.48
6.87,73.58,44.82,3,7.7,50.63
3.02,70.59,82.69,5,5.91,55.76
7.41,67.44,76.62,3,6.62,62.81
3.14,96.48,48.25,10,8.2,50.3
3.93,91.53,39.94,3,6.57,28.99
7.72,98.25,75.83,10,6.11,77.83
6.85,56.21,74.27,7,6.72,73.73
8.64,86.54,51.4,2,8.23,61.13
6.92,96.92,92.05,5,6.01,78.44
6.11,59.06,44.06,2,5.28,36.42
1.84,53.32,60.94,7,7.7,44.72
4.31,87.06,91.62,5,8.22,75.02
3.39,78.72,60.18,4,4.95,40.56
3.2,92.09,73.31,4,5.58,60.08
9.76,56.99,58.86,10,5.14,67.71
4.54,89.76,51.45,7,6.07,54.12
9.03,60.08,94.04,10,6.53,86.76
6.68,58.18,59.56,6,7.87,56.45
8.15,58.21,88.65,3,7.43,74.33
5.52,90.73,48.8,9,7.29,59.35
6.19,83.26,47.79,6,6.09,49.55
5.43,76.15,36.87,3,8.29,38.67
2.76,67.94,74.1,5,6.62,53.35
7.5,93.86,57.11,10,8.91,77.24
3.53,69.62,86.86,5,7.35,58.44
1.22,90.83,63.39,5,5.07,39.43
6.81,71.96,93.09,3,7.54,74.17
2.59,68.85,46.13,7,5.96,39.13
9.46,73.13,87.12,3,7.59,78.12
9.59,65.07,81.6,8,4.81,76.41
9.23,87.38,81.26,4,5.29,73.41
4.33,75.14,85.69,4,8.35,72.1
1.14,61.61,80.66,6,5.52,44.33
9.35,94.98,72.57,4,8.27,72.52
4.85,69.19,42.87,3,5.76,37.16
9.7,77.18,36.95,10,7.39,53.5
9.67,95.32,90.25,3,7.62,83.48
8.68,81.21,72.0,3,6.81,74.16
3.65,55.84,82.79,9,5.87,61.79
4.47,96.99,63.89,10,5.46,63.26
8.66,81.39,42.04,8,4.65,49.25
3.85,66.75,42.51,4,5.87,33.28
2.53,56.96,76.13,10,7.44,57.49
6.01,89.7,60.82,4,8.72,59.03
9.43,81.0,47.03,6,8.42,67.13
7.26,76.67,64.5,10,7.95,71.85
6.13,94.69,38.85,4,8.05,44.07
